device_class,device_name,file_urls,files,firmware_version,release_date,vendor
Router,Archer A7,https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK USB Printer Controller Installer.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'path': 'TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'checksum': 'cc7df0306a5ffe03b02e232aa4d834f1', 'status': 'uptodate'}]",V5,21-02-2022,TP-Link
Router,Archer C1200,https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK USB Printer Controller Installer.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202202/20220221/TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'path': 'TP-LINK%20USB%20Printer%20Controller%20Installer.zip', 'checksum': 'cc7df0306a5ffe03b02e232aa4d834f1', 'status': 'uptodate'}]",V3,21-02-2022,TP-Link
Repeater,TL-WA860RE,https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA860RE_V6_211208.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA860RE_V6_211208.zip', 'path': 'TL-WA860RE_V6_211208.zip', 'checksum': '2e93ff1063de3b4763c1bf7f7513fc75', 'status': 'uptodate'}]",V6,19-01-2022,TP-Link
Router,TL-MR3020,https://static.tp-link.com/upload/firmware/2022/202204/20220412/TL-MR3020(EU)_V3.20_211118.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202204/20220412/TL-MR3020(EU)_V3.20_211118.zip', 'path': 'TL-MR3020(EU)_V3.20_211118.zip', 'checksum': 'ca5e9093c87934e1cbb6afe06343a8c6', 'status': 'uptodate'}]",V3.20,12-04-2022,TP-Link
Repeater,RE305,https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE305_V4_220805.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE305_V4_220805.zip', 'path': 'RE305_V4_220805.zip', 'checksum': '781c24fd70426d119fd666e7bfe72f78', 'status': 'uptodate'}]",V4,14-10-2022,TP-Link
Router,TL-MR3420,https://static.tp-link.com/2021/202105/20210526/TL-MR3420(EU)_V5_210319.zip,"[{'url': 'https://static.tp-link.com/2021/202105/20210526/TL-MR3420(EU)_V5_210319.zip', 'path': 'TL-MR3420(EU)_V5_210319.zip', 'checksum': '16aed2bea6d44c89030f1675d20011cc', 'status': 'uptodate'}]",V5,26-05-2021,TP-Link
Router,TD-W9960v,https://static.tp-link.com/2020/202012/20201216/TD-W9960v(DE)_V1_201118.zip,"[{'url': 'https://static.tp-link.com/2020/202012/20201216/TD-W9960v(DE)_V1_201118.zip', 'path': 'TD-W9960v(DE)_V1_201118.zip', 'checksum': '6923bcc022fe7dd51ef07694b7539d9c', 'status': 'uptodate'}]",V1,16-12-2020,TP-Link
Repeater,RE220,https://static.tp-link.com/upload/firmware/2021/202108/20210806/RE220_V3_210608.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202108/20210806/RE220_V3_210608.zip', 'path': 'RE220_V3_210608.zip', 'checksum': '5dbfab5fd7097af0eddc10accb408860', 'status': 'uptodate'}]",V3,06-08-2021,TP-Link
Repeater,RE190,https://static.tp-link.com/2021/202105/20210528/RE190(EU_NL)_V5_210408.zip,"[{'url': 'https://static.tp-link.com/2021/202105/20210528/RE190(EU_NL)_V5_210408.zip', 'path': 'RE190(EU_NL)_V5_210408.zip', 'checksum': '1ab63ac50b083cdff60e1427a1a50d48', 'status': 'uptodate'}]",V5,28-05-2021,TP-Link
Router,Archer VR2100v,https://static.tp-link.com/upload/firmware/2022/202209/20220916/Archer_VR2100vV1_1.14.0_0.9.1_220719.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220916/Archer_VR2100vV1_1.14.0_0.9.1_220719.zip', 'path': 'Archer_VR2100vV1_1.14.0_0.9.1_220719.zip', 'checksum': '45769c5de29d70ad35cee74d9d4c51b1', 'status': 'uptodate'}]",V1,16-09-2022,TP-Link
Repeater,TL-WA854RE,https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA854RE_V4_211125.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202201/20220119/TL-WA854RE_V4_211125.zip', 'path': 'TL-WA854RE_V4_211125.zip', 'checksum': '94cce3969a907d8db16823e131b9d5e8', 'status': 'uptodate'}]",V4,19-01-2022,TP-Link
Repeater,RE455,https://static.tp-link.com/2020/202001/20200107/RE455(EU)_V1_191209.zip,"[{'url': 'https://static.tp-link.com/2020/202001/20200107/RE455(EU)_V1_191209.zip', 'path': 'RE455(EU)_V1_191209.zip', 'checksum': '6b6aea64b4e46ec1371aa1856dbb3604', 'status': 'uptodate'}]",V1,07-01-2020,TP-Link
Router,TL-WR802N,https://static.tp-link.com/upload/firmware/2022/202211/20221118/TL-WR802N(EU)_V4_221008.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221118/TL-WR802N(EU)_V4_221008.zip', 'path': 'TL-WR802N(EU)_V4_221008.zip', 'checksum': 'b97ee6770548f18fe57944ed1d715e8a', 'status': 'uptodate'}]",V4,18-11-2022,TP-Link
Router,TL-WR940N,https://static.tp-link.com/upload/firmware/2022/202211/20221121/TL-WR940N(EU)_V6_220801.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221121/TL-WR940N(EU)_V6_220801.zip', 'path': 'TL-WR940N(EU)_V6_220801.zip', 'checksum': 'b2995389dec2834ebcd764086cb87e97', 'status': 'uptodate'}]",V6,21-11-2022,TP-Link
Router,Archer AX55,https://static.tp-link.com/upload/firmware/2022/202206/20220606/Archer AX55(EU)_V2_220420.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202206/20220606/Archer%20AX55(EU)_V2_220420.zip', 'path': 'Archer%20AX55(EU)_V2_220420.zip', 'checksum': '3ab3d34d32c120d41b72dea4ed743c66', 'status': 'uptodate'}]",V2,06-06-2022,TP-Link
Router,Archer C50,https://static.tp-link.com/firmware/2021/202107/20210720/Archer C50(EU)_V6_210222.zip,"[{'url': 'https://static.tp-link.com/firmware/2021/202107/20210720/Archer%20C50(EU)_V6_210222.zip', 'path': 'Archer%20C50(EU)_V6_210222.zip', 'checksum': 'a9cd8ee2e70a3180476db48841130996', 'status': 'uptodate'}]",V6,02-07-2021,TP-Link
Router,TL-WR840N,https://static.tp-link.com/upload/firmware/2022/202202/20220215/TL-WR840Nv6_EU_0.9.1_4.19_up_boot[220120-rel55489].zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202202/20220215/TL-WR840Nv6_EU_0.9.1_4.19_up_boot%5B220120-rel55489%5D.zip', 'path': 'TL-WR840Nv6_EU_0.9.1_4.19_up_boot%5B220120-rel55489%5D.zip', 'checksum': 'a7d04ec31b8837e1f631c165921307e8', 'status': 'uptodate'}]",V6.20,15-02-2022,TP-Link
Router,TL-WR841N,https://static.tp-link.com/upload/firmware/2022/202211/20221123/WR841N(EU)_V14_220816.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221123/WR841N(EU)_V14_220816.zip', 'path': 'WR841N(EU)_V14_220816.zip', 'checksum': '8c083f9d42149a7ba78db070ec14e4b6', 'status': 'uptodate'}]",V14,23-11-2022,TP-Link
Router,TL-WR902AC,https://static.tp-link.com/upload/firmware/2022/202208/20220803/TL-WR902AC(EU)_V3_220329.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220803/TL-WR902AC(EU)_V3_220329.zip', 'path': 'TL-WR902AC(EU)_V3_220329.zip', 'checksum': 'b21af7f339d640ac450718d4fc67eff0', 'status': 'uptodate'}]",V3,03-08-2022,TP-Link
Router,Archer A5,https://static.tp-link.com/upload/firmware/2021/202111/20211117/Archer A5(EU)_V6_210723.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202111/20211117/Archer%20A5(EU)_V6_210723.zip', 'path': 'Archer%20A5(EU)_V6_210723.zip', 'checksum': 'b0a10ce154208f008295049d80084348', 'status': 'uptodate'}]",V6,17-11-2021,TP-Link
Router,Archer C60,https://static.tp-link.com/2021/202101/20210118/Archer C60(EU)_V3_201231.zip,"[{'url': 'https://static.tp-link.com/2021/202101/20210118/Archer%20C60(EU)_V3_201231.zip', 'path': 'Archer%20C60(EU)_V3_201231.zip', 'checksum': 'd819e24b10f27135046b18c064b21a97', 'status': 'uptodate'}]",V3,18-01-2021,TP-Link
Router,Archer C20,https://static.tp-link.com/2021/202101/20210127/Archer C20(EU)_V5_201214.zip,"[{'url': 'https://static.tp-link.com/2021/202101/20210127/Archer%20C20(EU)_V5_201214.zip', 'path': 'Archer%20C20(EU)_V5_201214.zip', 'checksum': '2ff7341eba6e0afca9e1a4a1405a7c36', 'status': 'uptodate'}]",V5,27-01-2021,TP-Link
Repeater,TL-WA850RE,https://static.tp-link.com/upload/firmware/2021/202112/20211215/850RE_V7_211117.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202112/20211215/850RE_V7_211117.zip', 'path': '850RE_V7_211117.zip', 'checksum': '3ab88b269283077cf4d58465610a5ee8', 'status': 'uptodate'}]",V7,15-12-2021,TP-Link
Repeater,TL-WA855RE,https://static.tp-link.com/upload/firmware/2022/202204/20220426/TL-WA855RE_V5_211125.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202204/20220426/TL-WA855RE_V5_211125.zip', 'path': 'TL-WA855RE_V5_211125.zip', 'checksum': '887d73635cec9a38204a40a733206bc9', 'status': 'uptodate'}]",V5,26-04-2022,TP-Link
Repeater,RE450,https://static.tp-link.com/upload/firmware/2022/202209/20220927/RE450_V4_220727.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220927/RE450_V4_220727.zip', 'path': 'RE450_V4_220727.zip', 'checksum': 'e3f656b819c86c80f8e21dc58604f926', 'status': 'uptodate'}]",V4,27-09-2022,TP-Link
Repeater,RE330,https://static.tp-link.com/upload/firmware/2022/202211/20221125/RE330_V1_220805.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221125/RE330_V1_220805.zip', 'path': 'RE330_V1_220805.zip', 'checksum': 'c674ff2a4390f8dfa6df080ab16be725', 'status': 'uptodate'}]",V1,25-11-2022,TP-Link
Router,Archer C7,https://static.tp-link.com/upload/software/2022/202202/20220221/USB_Printer_Controller_Utility_Windows.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202202/20220221/USB_Printer_Controller_Utility_Windows.zip', 'path': 'USB_Printer_Controller_Utility_Windows.zip', 'checksum': 'f1f97164f0cee5fbeb6227df8bd5a828', 'status': 'uptodate'}]",V5,21-02-2022,TP-Link
AP,Deco M5,https://static.tp-link.com/upload/firmware/2022/202209/20220920/Deco_M5_1.6.1_220818.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220920/Deco_M5_1.6.1_220818.zip', 'path': 'Deco_M5_1.6.1_220818.zip', 'checksum': '73d2b604a6fec2d34a8e5ee20aa74a2b', 'status': 'uptodate'}]",V3.20,20-09-2022,TP-Link
Repeater,RE365,https://static.tp-link.com/2020/202011/20201111/RE365(EU_US)1.0_200923.zip,"[{'url': 'https://static.tp-link.com/2020/202011/20201111/RE365(EU_US)1.0_200923.zip', 'path': 'RE365(EU_US)1.0_200923.zip', 'checksum': '4851426d91372752e37d2e70a44cc260', 'status': 'uptodate'}]",V1,11-11-2020,TP-Link
Repeater,RE550,https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE550_V1_220908.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221014/RE550_V1_220908.zip', 'path': 'RE550_V1_220908.zip', 'checksum': '21c5f1b75fe902c851af0366e6aa8a8d', 'status': 'uptodate'}]",V1,14-10-2022,TP-Link
Repeater,RE230,https://static.tp-link.com/upload/firmware/2022/202211/20221125/RE230_V2_220805.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221125/RE230_V2_220805.zip', 'path': 'RE230_V2_220805.zip', 'checksum': '0fdaf04c83695c894be93cf40cbb19b1', 'status': 'uptodate'}]",V2,25-11-2022,TP-Link
Repeater,RE335,https://static.tp-link.com/upload/firmware/2021/202108/20210826/RE335(DE)_V1_210712.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202108/20210826/RE335(DE)_V1_210712.zip', 'path': 'RE335(DE)_V1_210712.zip', 'checksum': 'bc3a18423858695fe869ebad2b6b84d3', 'status': 'uptodate'}]",V1,26-08-2021,TP-Link
AP,Deco E4,https://static.tp-link.com/upload/firmware/2022/202208/20220826/Deco_E4R_V3_220702.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220826/Deco_E4R_V3_220702.zip', 'path': 'Deco_E4R_V3_220702.zip', 'checksum': 'be4bb948724e20edcadf9168dbc3ab38', 'status': 'uptodate'}]",V3,26-08-2022,TP-Link
AP,Deco X20,https://static.tp-link.com/upload/firmware/2022/202201/20220121/Deco_X20_V4_EU_1.0.0_20211224.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202201/20220121/Deco_X20_V4_EU_1.0.0_20211224.zip', 'path': 'Deco_X20_V4_EU_1.0.0_20211224.zip', 'checksum': 'c35817c1968b61766a914e52ffe40682', 'status': 'uptodate'}]",V4,21-01-2022,TP-Link
Repeater,RE315,https://static.tp-link.com/upload/firmware/2021/202111/20211108/RE315_V1_210907.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202111/20211108/RE315_V1_210907.zip', 'path': 'RE315_V1_210907.zip', 'checksum': '7cd4073296f0de5fbe8add5403f022f0', 'status': 'uptodate'}]",V1,08-11-2021,TP-Link
AP,Deco M4,https://static.tp-link.com/upload/firmware/2022/202204/20220426/Deco_M4_V4_220401.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202204/20220426/Deco_M4_V4_220401.zip', 'path': 'Deco_M4_V4_220401.zip', 'checksum': 'd8a096d6cf94f8fb5045c4da19ff10f5', 'status': 'uptodate'}]",V4,26-04-2022,TP-Link
AP,Deco X50-PoE,https://static.tp-link.com/upload/firmware/2022/202210/20221028/x50-PoE 1.0.1 Build 20220902 Rel. 58645_US_EU_up.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221028/x50-PoE%201.0.1%20Build%2020220902%20Rel.%2058645_US_EU_up.zip', 'path': 'x50-PoE%201.0.1%20Build%2020220902%20Rel.%2058645_US_EU_up.zip', 'checksum': 'eaddcf834b6c748ffbb8bc3d8c26493b', 'status': 'uptodate'}]",V1,28-10-2022,TP-Link
AP,Deco X50,https://static.tp-link.com/upload/firmware/2022/202206/20220602/Deco_X50_V2_1.0.0_20220513.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202206/20220602/Deco_X50_V2_1.0.0_20220513.zip', 'path': 'Deco_X50_V2_1.0.0_20220513.zip', 'checksum': 'f8a9be58d34ef67f626b8a4b655df4e6', 'status': 'uptodate'}]",V2,02-06-2022,TP-Link
AP,Deco M9 Plus,https://static.tp-link.com/2021/202104/20210416/Deco_M9Plus_V2_1.5.3_210309.zip,"[{'url': 'https://static.tp-link.com/2021/202104/20210416/Deco_M9Plus_V2_1.5.3_210309.zip', 'path': 'Deco_M9Plus_V2_1.5.3_210309.zip', 'checksum': '89f508b28a0df6715057491dc8a3dc3c', 'status': 'uptodate'}]",V2.20,16-04-2021,TP-Link
AP,Deco S7,https://static.tp-link.com/upload/firmware/2022/202211/20221115/Deco_S7_1.3.3_221107.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221115/Deco_S7_1.3.3_221107.zip', 'path': 'Deco_S7_1.3.3_221107.zip', 'checksum': '010a027e94d4246070e3486f97792164', 'status': 'uptodate'}]",V1,15-11-2022,TP-Link
AP,Deco P9,https://static.tp-link.com/2021/202101/20210127/Deco_P9_V1_V2_1.1.3_201228.zip,"[{'url': 'https://static.tp-link.com/2021/202101/20210127/Deco_P9_V1_V2_1.1.3_201228.zip', 'path': 'Deco_P9_V1_V2_1.1.3_201228.zip', 'checksum': '7066b0183fe8ca99ffdfa5b6de81f765', 'status': 'uptodate'}]",V2,27-01-2021,TP-Link
AP,Deco S4,https://static.tp-link.com/upload/firmware/2022/202206/20220608/Deco_S4_V4_220513.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202206/20220608/Deco_S4_V4_220513.zip', 'path': 'Deco_S4_V4_220513.zip', 'checksum': 'bdfa59792c53cc6d7828a5d860e601f4', 'status': 'uptodate'}]",V4,08-06-2022,TP-Link
Repeater,RE3000X,https://static.tp-link.com/upload/firmware/2022/202208/20220810/RE3000X(DE)_V1_220422.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220810/RE3000X(DE)_V1_220422.zip', 'path': 'RE3000X(DE)_V1_220422.zip', 'checksum': 'fafd57a11fef6a4d9e802db71e34e908', 'status': 'uptodate'}]",V1,10-08-2022,TP-Link
Repeater,RE655,https://static.tp-link.com/2021/202104/20210426/RE655(DE)_V2_210302.zip,"[{'url': 'https://static.tp-link.com/2021/202104/20210426/RE655(DE)_V2_210302.zip', 'path': 'RE655(DE)_V2_210302.zip', 'checksum': 'd064c487c3b92cb6dbd6b7981f0b3728', 'status': 'uptodate'}]",V2,26-04-2021,TP-Link
Repeater,RE650,https://static.tp-link.com/upload/firmware/2022/202205/20220510/RE650_V2_211130.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202205/20220510/RE650_V2_211130.zip', 'path': 'RE650_V2_211130.zip', 'checksum': 'd354d4d48a2b32f4cacae3e38e26c5cb', 'status': 'uptodate'}]",V2,10-05-2022,TP-Link
Repeater,RE505X,https://static.tp-link.com/upload/firmware/2021/202111/20211112/RE505X_V1_211107.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2021/202111/20211112/RE505X_V1_211107.zip', 'path': 'RE505X_V1_211107.zip', 'checksum': '22781134a849d91207113941132e0817', 'status': 'uptodate'}]",V1,12-11-2021,TP-Link
Repeater,RE605X,https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE605X(EU)_V3_220428.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE605X(EU)_V3_220428.zip', 'path': 'RE605X(EU)_V3_220428.zip', 'checksum': '2a141ac79c33f4e87548d09a24754a56', 'status': 'uptodate'}]",V3,05-08-2022,TP-Link
AP,Deco X55,https://static.tp-link.com/upload/firmware/2022/202205/20220518/Deco_X55(EU)_V1_1.0.0_20220407.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202205/20220518/Deco_X55(EU)_V1_1.0.0_20220407.zip', 'path': 'Deco_X55(EU)_V1_1.0.0_20220407.zip', 'checksum': '9b055cb8e4ac127a6d8fc5ad381361e8', 'status': 'uptodate'}]",V1,18-05-2022,TP-Link
Router,M7200,https://static.tp-link.com/upload/software/2022/202203/20220304/ISP_21082501.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202203/20220304/ISP_21082501.zip', 'path': 'ISP_21082501.zip', 'checksum': '33c073c5b4d78d8c255d1ad5367406a0', 'status': 'uptodate'}]",V3,04-03-2022,TP-Link
AP,Deco X80-5G,https://static.tp-link.com/upload/firmware/2022/202209/20220905/Deco_X80-5G(EU)_V1_20220218.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220905/Deco_X80-5G(EU)_V1_20220218.zip', 'path': 'Deco_X80-5G(EU)_V1_20220218.zip', 'checksum': '3378af083a5ca5d0ee7593214d808fb1', 'status': 'uptodate'}]",V1,05-09-2022,TP-Link
Repeater,RE600X,https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE600X(EU)_V3_220428.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE600X(EU)_V3_220428.zip', 'path': 'RE600X(EU)_V3_220428.zip', 'checksum': '54ab74a74f4935799affc711465a9470', 'status': 'uptodate'}]",V3,05-08-2022,TP-Link
Router,M7450,https://static.tp-link.com/rndis_driver_winxp.rar,"[{'url': 'https://static.tp-link.com/rndis_driver_winxp.rar', 'path': 'rndis_driver_winxp.rar', 'checksum': 'd6180e648cce6a4fa6737418ef7d8d85', 'status': 'uptodate'}]",V2,14-07-2017,TP-Link
Router,M7650,https://static.tp-link.com/rndis_driver_winxp.rar,"[{'url': 'https://static.tp-link.com/rndis_driver_winxp.rar', 'path': 'rndis_driver_winxp.rar', 'checksum': 'd6180e648cce6a4fa6737418ef7d8d85', 'status': 'uptodate'}]",V1.10,14-11-2017,TP-Link
Repeater,RE700X,https://static.tp-link.com/upload/firmware/2022/202210/20221017/RE700X_V1_220926.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221017/RE700X_V1_220926.zip', 'path': 'RE700X_V1_220926.zip', 'checksum': '5efd8aa99f1ae0778a2e43964c30c824', 'status': 'uptodate'}]",V1,17-10-2022,TP-Link
